session_id,start_ts,end_ts,duration_min,msgs,user_msgs,peer_msgs,top_intent,top_intent_p,top_topics,recent
sess_0033,2020-12-23T17:35:00,2020-12-23T17:35:00,0.0,2,0,2,short_reply,1.0,дома:1,peer: “Ле” | peer: “Ты дома?”
sess_0034,2020-12-23T21:19:00,2020-12-23T23:13:00,114.0,8,4,4,short_reply,1.0,нет:1;понял:1;придешь:1,peer: “Шо” | peer: “Шо ебать”
sess_0035,2020-12-24T14:17:00,2020-12-24T14:17:00,0.0,1,0,1,short_reply,1.0,<media>:1,peer: “<media>”
sess_0036,2020-12-24T18:25:00,2020-12-24T18:25:00,0.0,2,0,2,short_reply,1.0,чорт:1,peer: “Э” | peer: “Чорт”
sess_0037,2020-12-24T22:13:00,2020-12-24T22:25:00,12.0,18,9,9,short_reply,0.778,дома:2;иду:2;сорян:1,user: “Захвати сигареты” | peer: “Взял”
sess_0038,2020-12-25T07:29:00,2020-12-25T07:29:00,0.0,1,0,1,short_reply,1.0,<media>:1,peer: “<media>”
sess_0039,2020-12-26T20:04:00,2020-12-26T20:32:00,28.0,6,2,4,short_reply,1.0,вац:1;где:1;длиа:1,user: “Дома” | peer: “קייף”
sess_0040,2020-12-27T17:32:00,2020-12-27T20:28:00,176.0,8,2,6,short_reply,0.75,пажилой:1;молод:1;телом:1,peer: “Ля” | peer: “Ляяя”
sess_0041,2020-12-28T10:22:00,2020-12-28T10:53:00,31.0,10,4,6,short_reply,0.7,курить:1;тока:1;проснулся:1,user: “зайди как захочешь” | peer: “Хорошо”
sess_0042,2020-12-28T14:01:00,2020-12-28T14:05:00,4.0,4,1,3,short_reply,0.75,бажену:1;прйешь:1;свалил:1,"user: “А чо там?” | peer: “Та он уже свалил, сабака сутулая”"
sess_0043,2020-12-28T18:26:00,2020-12-28T19:06:00,40.0,5,2,3,short_reply,0.8,<media>:4;вообщето:1;придумал:1,user: “Вообщето ты это придумал про сперму” | peer: “<media>”
sess_0044,2020-12-29T14:22:00,2020-12-29T14:22:00,0.0,1,0,1,short_reply,1.0,<media>:1,peer: “<media>”
sess_0045,2020-12-30T18:19:00,2020-12-30T18:19:00,0.0,2,0,2,short_reply,0.5,вац:1;могу:1;попросить:1,peer: “Вац” | peer: “Могу попросить тебя сиг мне взять?”
sess_0046,2020-12-30T20:51:00,2020-12-30T20:51:00,0.0,4,2,2,short_reply,0.75,нихуясе:1;только:1;сообщение:1,peer: “Норм” | peer: “Не надо”
sess_0047,2021-01-02T17:37:00,2021-01-02T17:38:00,1.0,4,1,3,short_reply,0.75,стулья:1;занести:1;минуту:1,peer: “Тут сборы” | peer: “Заходи”
sess_0048,2021-01-03T14:19:00,2021-01-03T15:57:00,98.0,7,2,5,short_reply,0.571,ооо:2;магаз:1;пойдешь:1,peer: “Ооо” | peer: “Ты теперь блатной”
sess_0049,2021-01-04T00:22:00,2021-01-04T00:22:00,0.0,1,0,1,short_reply,1.0,<media>:1,peer: “<media>”
sess_0050,2021-01-05T12:46:00,2021-01-05T13:19:00,33.0,11,8,3,short_reply,0.727,<media>:5;пажилой:1;самурай:1,user: “Да” | peer: “Шикарно”
sess_0051,2021-01-05T21:11:00,2021-01-05T21:12:00,1.0,7,2,5,short_reply,0.714,магазин:1;проветримся:1;пажилым:1,user: “Давай щас оденусь” | peer: “Я зайду”
sess_0052,2021-01-06T00:58:00,2021-01-06T01:59:00,61.0,4,1,3,short_reply,0.5,начал:1;кобру:1;кай:1,peer: “Чорт бля” | peer: “Я подсел на эту хуйню”
sess_0053,2021-01-06T14:10:00,2021-01-06T16:28:00,138.0,50,20,30,short_reply,0.54,<media>:4;будет:3;что:3,peer: “Очень аккуратно” | peer: “Желательно без них”
sess_0054,2021-01-06T21:05:00,2021-01-06T23:05:00,120.0,22,8,14,short_reply,0.773,нет:3;норм:2;пей:2,peer: “И помни” | peer: “Очко в напряг и не жри всякую хуйб”
sess_0055,2021-01-07T10:40:00,2021-01-07T10:49:00,9.0,8,5,3,short_reply,0.625,пажилой:1;валяюсь:1;ванной:1,user: “Так нормально и не по” | peer: “Отдыхай”
sess_0056,2021-01-07T16:27:00,2021-01-07T18:05:00,98.0,5,2,3,short_reply,0.4,что:1;делаешь:1;бабушке:1,user: “Ну поспал. Вроде получше” | peer: “👍”
sess_0057,2021-01-07T21:44:00,2021-01-07T22:10:00,26.0,5,1,4,short_reply,0.6,магаз:1;неа:1;лан:1,peer: “Ну лан” | peer: “Как самочувствие?”
sess_0058,2021-01-10T22:12:00,2021-01-10T22:17:00,5.0,5,2,3,short_reply,0.8,придешь:1;куда:1;почему:1,"user: “Подстричь” | peer: “А, иду”"
sess_0059,2021-01-11T12:21:00,2021-01-11T17:13:00,292.0,58,22,36,short_reply,0.5,что:3;как:3;может:3,"peer: “<media>” | user: “Сложно это обобщить , ну я подумаю”"
sess_0060,2021-01-12T20:20:00,2021-01-12T22:51:00,151.0,41,24,17,short_reply,0.512,<media>:3;конечно:2;если:2,user: “Если вдруг захочешь покурить на этаже можешь меня позвать” | peer: “Халасо”
sess_0061,2021-01-13T08:11:00,2021-01-13T18:03:00,592.0,42,12,30,short_reply,0.738,должность:2;так:2;гордость:1,user: “У вас тоже холодно дома?” | peer: “Ну так”
sess_0062,2021-01-14T11:05:00,2021-01-14T11:05:00,0.0,1,0,1,statement,1.0,пажилой:1;джуниор:1,peer: “Ну шо ты пажилой джуниор”
sess_0063,2021-01-14T18:20:00,2021-01-14T18:26:00,6.0,14,7,7,short_reply,0.5,сказали:2;ебать:2;сходил:1,user: “Ну у меня в резюме было написано что знание иврита и в портфолио еврейские работы” | peer: “Аааа”
sess_0064,2021-01-14T21:06:00,2021-01-14T21:06:00,0.0,2,0,2,statement,0.5,кажется:1;возьмут:1;увидят:1,peer: “Мне кажется тебя возьмут” | peer: “Увидят твой талант”
sess_0065,2021-01-15T15:30:00,2021-01-15T16:14:00,44.0,39,31,8,short_reply,0.821,<media>:3;как:3;смешно:2,user: “<media>” | peer: “Кейф”
sess_0066,2021-01-15T19:09:00,2021-01-15T22:02:00,173.0,72,41,31,short_reply,0.681,сериал:3;пажилой:2;зря:2,user: “Ахуенно эти пидарасы закрыли дверь” | peer: “Заходи к нам”
sess_0067,2021-01-16T09:09:00,2021-01-16T10:38:00,89.0,9,4,5,short_reply,0.556,думал:2;рабочий:2;спишь:1,user: “забываю просто выложить таскаю в кармане” | peer: “Не забывай”
sess_0068,2021-01-16T14:13:00,2021-01-16T21:07:00,414.0,60,34,26,short_reply,0.533,<media>:11;что:3;как:2,"user: “После Лебедева только понял, что такое нормальные тени и что в тенях должно быть из окружения цвета подмешаны” | peer: “<media>”"
sess_0069,2021-01-17T10:02:00,2021-01-17T12:17:00,135.0,25,6,19,short_reply,0.64,или:2;зачем:2;хочу:2,peer: “Нет” | peer: “Зачем?”
sess_0070,2021-01-17T15:24:00,2021-01-17T15:42:00,18.0,19,9,10,short_reply,0.421,хочу:3;кого:2;<media>:1,"user: “Я кстати вчера макось переустановил ю, впервые за все это время” | user: “Освободил 80 гигов”"
sess_0071,2021-01-18T12:07:00,2021-01-18T12:18:00,11.0,17,4,13,short_reply,0.765,круто:2;взяли:1;збс:1,user: “Нет мне прислали фотку типа не против курения ли я” | peer: “Пришли им хуй”
sess_0072,2021-01-18T15:50:00,2021-01-18T18:47:00,177.0,18,9,9,short_reply,0.667,спит:2;деньгами:2;вообщем:1,peer: “На кассе” | user: “Ты где?”
sess_0073,2021-01-19T12:45:00,2021-01-19T13:04:00,19.0,6,2,4,statement,0.5,что:2;как:2;пажилой:1,peer: “идите нахуй” | peer: “<media>”
sess_0074,2021-01-19T17:47:00,2021-01-19T19:00:00,73.0,18,7,11,short_reply,0.611,спать:1;хочу:1;прошло:1,peer: “Ну вот” | peer: “😘”
sess_0075,2021-01-20T08:10:00,2021-01-20T11:37:00,207.0,32,16,16,statement,0.438,<media>:4;куда:3;чем:2,user: “Ну а я как сказал” | peer: “Мужчина”
sess_0076,2021-01-20T14:22:00,2021-01-20T16:51:00,149.0,9,3,6,short_reply,0.778,сказал:2;нет:2;что:1,user: “Исчезло?” | peer: “Нет”
sess_0077,2021-01-21T14:04:00,2021-01-21T16:24:00,140.0,22,11,11,statement,0.545,мужик:2;нормально:2;чипировался:1,user: “Мужик 30 лет жалуется что ему холодно и одиноко” | user: “Я мужик если че”
sess_0078,2021-01-22T08:53:00,2021-01-22T08:53:00,0.0,2,0,2,short_reply,1.0,люди:1,peer: “И шо” | peer: “Мы же люди”
sess_0079,2021-01-22T17:10:00,2021-01-22T17:39:00,29.0,12,5,7,short_reply,0.583,шабат:1;покраска:1;что:1,user: “Ну а я сижу ем все что приготовил” | peer: “Кейф”
sess_0080,2021-01-23T16:25:00,2021-01-23T19:37:00,192.0,11,5,6,short_reply,0.636,<media>:3;как:1;митинге:1,user: “Светленько стало” | peer: “Даа”
sess_0081,2021-01-24T10:19:00,2021-01-24T10:29:00,10.0,8,4,4,statement,0.625,<media>:1;что:1;прям:1,"user: “От твоей?” | peer: “Если бы от моей, то ты был бы как Стас Борецкий”"
sess_0082,2021-01-24T15:37:00,2021-01-24T19:26:00,229.0,35,17,18,short_reply,0.571,<media>:5;как:3;прям:2,peer: “Он в музее” | user: “Я хочу серьгу”
sess_0083,2021-01-24T23:11:00,2021-01-24T23:38:00,27.0,14,6,8,short_reply,0.786,надеюсь:1;спрашивать:1;курить:1,user: “Я только но пошли” | peer: “Гл”
sess_0084,2021-01-25T23:30:00,2021-01-25T23:30:00,0.0,2,1,1,invite,1.0,покурим:1,peer: “Го покурим?” | user: “пошли”
sess_0085,2021-01-31T13:22:00,2021-01-31T13:22:00,0.0,2,0,2,short_reply,1.0,профэссор:1,peer: “Ну шо ты” | peer: “Профэссор”
sess_0086,2021-01-31T17:42:00,2021-01-31T18:47:00,65.0,13,10,3,short_reply,0.615,<media>:5;што:1;кайфуешь:1,user: “<media>” | user: “вот так вот получше наверное”
sess_0087,2021-01-31T21:07:00,2021-01-31T22:57:00,110.0,3,1,2,short_reply,0.667,хорошо:1;телеге:1;юшковым:1,user: “А ты в телеге с юшковым переписываешься?” | peer: “Да”
sess_0088,2021-02-01T08:30:00,2021-02-01T08:36:00,6.0,7,1,6,short_reply,0.571,пельмень:1;справы:1;новой:1,peer: “И медитация” | peer: “<media>”
sess_0089,2021-02-01T19:13:00,2021-02-01T19:30:00,17.0,2,1,1,short_reply,1.0,<media>:1;нуя:1;против:1,peer: “<media>” | user: “Нуя не против”
sess_0090,2021-02-02T07:49:00,2021-02-02T07:49:00,0.0,1,0,1,short_reply,1.0,,peer: “Ле”
sess_0091,2021-02-03T20:46:00,2021-02-03T21:03:00,17.0,5,1,4,short_reply,0.8,дома:1;магаз:1;через:1,user: “Можно сходить” | peer: “<media>”
sess_0092,2021-02-03T23:27:00,2021-02-03T23:36:00,9.0,8,6,2,short_reply,0.875,<media>:4;что:1;ебаные:1,peer: “Кейф” | peer: “Хорошо смотрится”
sess_0093,2021-02-04T21:19:00,2021-02-04T21:20:00,1.0,7,1,6,short_reply,0.857,мог:2;занести:2;для:1,peer: “Попрошу занести” | peer: “Если не сложно”
sess_0094,2021-02-05T21:55:00,2021-02-05T22:02:00,7.0,12,7,5,short_reply,0.583,деньгами:1;шабат:1;ебнулся:1,user: “Время то видел?” | user: “Шо я в 22 пойду спать”
sess_0095,2021-02-08T19:32:00,2021-02-08T23:19:00,227.0,16,7,9,short_reply,0.688,<media>:7;хай:1;хуячу:1,peer: “Ну мы что с тобой сосаться не будем” | peer: “<media>”
sess_0096,2021-02-09T12:03:00,2021-02-09T12:08:00,5.0,8,3,5,short_reply,0.625,как:1;пажилой:1;работу:1,peer: “Не выходить” | user: “Ну да а чоделать”
sess_0097,2021-02-10T14:51:00,2021-02-10T14:53:00,2.0,4,3,1,short_reply,0.75,<media>:3;можешь:1;подсказать:1,user: “Можешь подсказать по перспективе” | peer: “<media>”
sess_0098,2021-02-10T18:43:00,2021-02-10T21:18:00,155.0,7,2,5,short_reply,1.0,<media>:1;схожу:1;посмотрю:1,user: “Я дома уже” | peer: “Вай бля”
sess_0099,2021-02-11T10:30:00,2021-02-11T10:34:00,4.0,3,1,2,short_reply,1.0,<media>:3,peer: “<media>” | peer: “<media>”
sess_0100,2021-02-11T21:55:00,2021-02-11T23:30:00,95.0,24,11,13,short_reply,0.5,как:4;дома:2;все:2,peer: “Передернуть ствол и баюшки” | user: “Ну ясно понятно”
sess_0101,2021-02-12T07:44:00,2021-02-12T07:44:00,0.0,1,0,1,short_reply,1.0,проснись:1,peer: “Проснись”
sess_0102,2021-02-12T10:31:00,2021-02-12T10:31:00,0.0,1,0,1,short_reply,1.0,pazhiloy:1,peer: “Mr. Pazhiloy.....”
sess_0103,2021-02-12T18:20:00,2021-02-12T20:51:00,151.0,19,8,11,short_reply,0.737,<media>:2;ебаное:2;ляяя:1,user: “У меня там диджейский пульт стоит” | peer: “Зачем?”
sess_0104,2021-02-13T18:28:00,2021-02-13T20:26:00,118.0,42,13,29,short_reply,0.714,как:3;ибрашка:2;нормально:2,peer: “Вы чо там делаете?” | peer: “Покупайте по акции”
sess_0105,2021-02-15T11:27:00,2021-02-15T11:31:00,4.0,4,2,2,short_reply,0.5,<media>:1;низнаю:1;дома:1,user: “Может Московский есть” | peer: “Глянь как врэмэчко будэ”
sess_0106,2021-02-15T23:13:00,2021-02-16T00:17:00,64.0,9,5,4,short_reply,0.889,московский:3;<media>:2;нет:1,user: “арқасында деді?” | peer: “Иә”
sess_0107,2021-02-16T08:47:00,2021-02-16T09:31:00,44.0,6,0,6,short_reply,0.833,<media>:1;как:1;тобой:1,peer: “Мамаш помог мне” | peer: “Спасибо за календари”
sess_0108,2021-02-16T23:09:00,2021-02-16T23:31:00,22.0,20,13,7,short_reply,0.55,знал:2;<media>:2;чето:1,user: “Ну я этого не вижу покачто” | user: “Надо трудиться”
sess_0109,2021-02-17T08:10:00,2021-02-17T08:11:00,1.0,2,0,2,invite,0.5,ничего:1;страшного:1;тяу:1,peer: “Ну ничего страшного” | peer: “Тяу тяу тяу тяу”
sess_0110,2021-02-17T23:29:00,2021-02-17T23:34:00,5.0,7,7,0,short_reply,0.714,<media>:3;нужен:1;совет:1,user: “Или не в карандаше дело а в криворукости” | user: “<media>”
sess_0111,2021-02-18T06:51:00,2021-02-18T07:17:00,26.0,8,0,8,short_reply,0.5,нормально:1;само:1;дави:1,peer: “Буду оч благодарен” | peer: “А йося тебе отсосет потом”
sess_0112,2021-02-19T09:02:00,2021-02-19T09:02:00,0.0,1,0,1,short_reply,1.0,<media>:1,peer: “<media>”
sess_0113,2021-02-19T11:44:00,2021-02-19T11:44:00,0.0,1,0,1,short_reply,1.0,<media>:1,peer: “<media>”
sess_0114,2021-02-19T18:29:00,2021-02-19T18:37:00,8.0,9,5,4,short_reply,0.667,как:2;<media>:2;прршло:1,peer: “Кейфак” | peer: “<media>”
sess_0115,2021-02-21T16:16:00,2021-02-21T18:34:00,138.0,6,1,5,short_reply,0.833,шалом:3;дома:1;икею:1,user: “Тебе не надо в икею?” | peer: “Вроде нет”
sess_0116,2021-02-25T16:20:00,2021-02-25T16:20:00,0.0,4,1,3,short_reply,1.0,ляяя:2;<media>:1;красота:1,peer: “Ляяя” | peer: “Красота”
sess_0117,2021-02-25T21:02:00,2021-02-25T21:43:00,41.0,17,5,12,short_reply,0.765,блять:2;роман:1;дверь:1,peer: “Не кмпишуй” | peer: “Го”
sess_0118,2021-02-26T09:27:00,2021-02-26T09:29:00,2.0,4,0,4,short_reply,1.0,встал:1;йося:1,peer: “Встал йося?” | peer: “А ты?”
sess_0119,2021-02-26T11:44:00,2021-02-26T13:50:00,126.0,27,10,17,statement,0.519,может:3;пурим:2;будто:2,user: “Да у тебя часы не правильно на телефоне стоят” | peer: “Ни”
sess_0120,2021-02-26T19:42:00,2021-02-26T20:51:00,69.0,30,13,17,short_reply,0.6,плохо:3;если:2;нет:2,peer: “Надо надпись замутить” | peer: “Ауф”
sess_0121,2021-02-27T13:42:00,2021-02-27T18:23:00,281.0,36,17,19,short_reply,0.667,<media>:4;думаю:2;поесть:2,peer: “🤣🤣🤣” | peer: “🤣🤣”
sess_0122,2021-02-28T12:49:00,2021-02-28T15:20:00,151.0,14,5,9,short_reply,0.643,<media>:1;когда:1;конкурсы:1,peer: “Ля” | user: “Там будут конкурсы и призы”
sess_0123,2021-02-28T17:25:00,2021-02-28T21:17:00,232.0,14,5,9,short_reply,0.643,все:2;разбежались:2;кушаю:1,user: “<media>” | peer: “Уау”
sess_0124,2021-03-01T16:28:00,2021-03-01T16:41:00,13.0,12,4,8,short_reply,0.667,шимон:1;свидетельство:1;com:1,user: “pozdnjakov@gmail.com” | user: “<media>”
sess_0125,2021-03-01T21:10:00,2021-03-01T21:46:00,36.0,20,9,11,short_reply,0.55,про:3;<media>:3;что:2,user: “Тебе подошло?” | peer: “<media>”
sess_0126,2021-03-02T07:42:00,2021-03-02T07:42:00,0.0,3,0,3,short_reply,1.0,поэтому:1;корабль:1;пират:1,peer: “А” | peer: “Пират”
sess_0127,2021-03-02T12:27:00,2021-03-02T12:43:00,16.0,10,1,9,short_reply,1.0,поэтому:1;ответь:1;важно:1,peer: “Так же проще” | user: “Да”
sess_0128,2021-03-02T19:44:00,2021-03-02T20:07:00,23.0,3,2,1,short_reply,1.0,<media>:2;огонь:1,user: “<media>” | peer: “Огонь”
sess_0129,2021-03-03T19:36:00,2021-03-03T19:49:00,13.0,17,15,2,statement,0.824,весь:3;найду:2;<media>:1,user: “Я те покажу свой фекальный капуэйро” | peer: “Ебать ты в одноклассниках перечитал?”
sess_0130,2021-03-04T12:26:00,2021-03-04T12:26:00,0.0,2,0,2,short_reply,1.0,кнопочный:1;воин:1,peer: “Кнопочный воин” | peer: “Ну чо тв”
sess_0131,2021-03-04T18:39:00,2021-03-04T23:04:00,265.0,24,12,12,short_reply,0.708,<media>:3;думал:2;даже:1,peer: “Гавно” | user: “Вот правильно”
sess_0132,2021-03-05T17:51:00,2021-03-05T17:52:00,1.0,2,1,1,short_reply,1.0,<media>:1;приходи:1,peer: “<media>” | user: “Приходи”
sess_0133,2021-03-05T20:33:00,2021-03-06T00:21:00,228.0,45,19,26,short_reply,0.533,<media>:4;дома:3;хочешь:2,user: “<media>” | peer: “🤣”
sess_0134,2021-03-06T12:11:00,2021-03-06T12:20:00,9.0,11,5,6,short_reply,0.636,зашел:1;только:1;проснулся:1,user: “Ближайшие билеты в пушкинский на 9 марта” | peer: “А ну празднички”
sess_0135,2021-03-06T14:26:00,2021-03-06T18:13:00,227.0,37,15,22,short_reply,0.703,<media>:5;если:3;марина:2,peer: “По братскт” | peer: “Если не то пойду адын”
sess_0136,2021-03-07T13:06:00,2021-03-07T13:39:00,33.0,2,1,1,short_reply,1.0,<media>:1;вау:1,user: “<media>” | peer: “Вау”
sess_0137,2021-03-07T17:50:00,2021-03-07T18:14:00,24.0,17,11,6,short_reply,0.647,дома:2;кто:1;чтоле:1,user: “Щас пришло?” | peer: “Да”
sess_0138,2021-03-07T20:56:00,2021-03-07T21:09:00,13.0,8,6,2,statement,0.625,все:1;возвращается:1;круги:1,user: “Где там с сердцем” | user: “А нашел”
sess_0139,2021-03-08T14:18:00,2021-03-08T14:23:00,5.0,4,2,2,short_reply,0.75,выходной:2;хожу:1;весь:1,"peer: “Ага, 2 раза” | user: “Круто”"
sess_0140,2021-03-08T20:04:00,2021-03-09T00:10:00,246.0,19,4,15,short_reply,0.895,атвертки:1;маленькие:1;красавец:1,peer: “Ле” | peer: “Спишь?”
sess_0141,2021-03-10T17:55:00,2021-03-10T21:38:00,223.0,32,12,20,short_reply,0.688,пажилой:2;выходные:2;<media>:2,user: “Купил я тебе Си. гаркты” | peer: “😘”
sess_0142,2021-03-11T10:07:00,2021-03-11T10:07:00,0.0,1,0,1,short_reply,1.0,<media>:1,peer: “<media>”
sess_0143,2021-03-12T09:19:00,2021-03-12T11:21:00,122.0,3,1,2,short_reply,0.667,пища:1;поисках:1;достойной:1,"user: “Бред какой-то” | peer: “Ой, все”"
sess_0144,2021-03-12T20:33:00,2021-03-12T23:46:00,193.0,46,26,20,short_reply,0.587,чорт:3;воняет:2;пиздец:2,user: “Я на кухне сижу” | user: “Скорее в пакет”
sess_0145,2021-03-13T12:23:00,2021-03-13T12:23:00,0.0,1,0,1,short_reply,1.0,дома:1,peer: “Дома?”
sess_0146,2021-03-13T15:45:00,2021-03-13T15:58:00,13.0,8,5,3,short_reply,0.625,ходил:1;бажену:1;как:1,peer: “Выпей певка” | peer: “Поспи”
sess_0147,2021-03-14T09:48:00,2021-03-14T10:27:00,39.0,19,6,13,short_reply,0.947,<media>:3;командир:1;пришел:1,peer: “<media>” | peer: “<media>”
sess_0148,2021-03-14T13:04:00,2021-03-14T13:04:00,0.0,2,0,2,statement,0.5,https:1;docs:1;google:1,peer: “https://docs.google.com/forms/d/1oCPBIPDa739JIWFHcWkDgNNwaL91GyO5MQvESN0-T6A/edit” | peer: “Брат заполни пабрацки”
sess_0149,2021-03-14T22:34:00,2021-03-14T23:21:00,47.0,16,11,5,statement,0.5,<media>:3;хочу:1;сюжетки:1,user: “<media>” | peer: “Ща”
sess_0150,2021-03-15T08:02:00,2021-03-15T11:48:00,226.0,19,7,12,statement,0.579,типо:2;онлайн:2;погамал:1,user: “<media>” | peer: “🤣”
sess_0151,2021-03-15T14:47:00,2021-03-15T15:29:00,42.0,11,2,9,statement,0.636,скинь:1;сайт:1;пажилая:1,peer: “Но она не пажилая” | peer: “Вау”
sess_0152,2021-03-15T18:27:00,2021-03-15T20:49:00,142.0,28,11,17,short_reply,0.714,что:3;заказчики:2;хуй:2,user: “Заказчики пиздец” | user: “Но это мондж это жопа”
sess_0153,2021-03-16T08:24:00,2021-03-16T11:32:00,188.0,26,17,9,statement,0.808,как:3;конечно:3;ставить:2,"user: “Ну и отдыхать конечно надо” | peer: “Да, по итогу нужно ставить себе время и рамки”"
